,Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
0,STRATEGI PENGEMBANGAN MAKANAN DAN MINUMAN KHAS PULAU GILIGENTING GUNA MENDUKUNG PARIWISATA BERKELANJUTAN, Mohammad Maskur," Dr. Akhmad Farid, S.Pi., MT","Dr. Apri Arisandi, S.Pi., M.Si","Makanan dan minuman khas merupakan ciri dari kekayaan sumberdaya alam dari suatu daerah, pentingnya memaksimalkan pariwisata Pulau Giligenting ditunjang dengan makanan dan minuman khas Pulau Giligenting guna menjadi salah satu spot pariwisata berkelanjutan di Madura. Penelitian ini bertujuan: 1). Mengetahui potensi makanan dan minuman khas Pulau Giligenting. 2). Menyusun strategi pengembangan makanan dan minuman khas Pulau Giligenting untuk menunjang pariwisata berkelanjutan. Waktu dan Lokasi Penelitian dilaksanakan pada bulan Nopember 2019 - Pebruari 2020, berlokasi di Pulau Wisata Giligenting, Sumenep. Metode yang digunakan dalam penelitian ini adalah metode kualitatif. Data dikumpulkan dan diolah secara kualitatif. Analisis data menggunakan metode matrik SWOT. Kesimpulan: 1). Potensi makanan dan minuman khas Pulau Giligenting guna mendukung pariwisata berkelanjutan yaitu Kue Bapel, Gula Aren dan Nira Siwalan (legen) sebagai minuman khas. 2). Strategi pengembangan makanan dan minuman khas Pulau Giligenting menggunakan metode deskriptif kualitatif dan analisis SWOT dengan mengkombinasikan faktor ifas dan efas (SO-ST-WO-WT) meliputi promosi wisata, paket diskon, aturan dagang, edukasi wisata, perbaikan kemasan, membangun tempat industri, sapta wisata serta menjaga kualitas wisata dan kualitas makanan dan minuman khas.

Kata Kunci : Makanan dan Minuman Khas, Pulau Giligenting, Pariwisata Berkelanjutan, Metode Kualitatif, dan Analisis SWOT."
1,PERUMUSAN SANKSI PIDANA BAGI MASYARAKAT SEKITAR HUTAN YANG MELAKUKAN PENCURIAN KAYU MILIK NEGARA DALAM UNDANG-UNDANG NOMOR 18 TAHUN 2013, Moch. Steven," Dr. Wartiningsih, S.H., M.Hum",,"ABSTRAK
Akhir-akhir ini semakin maraknya pencurian kayu milik negara di sekitar hutan oleh masyarakat. akan tetapi perumusan sanksi pidana dalam Undang-undang Nomor 18 Tahun 2013 tentang pencegahan dan pemberantasan perusakan hutan pada Pasal 101 ayat 1 (satu) ini menegaskan sanksi penjatuhan pidana terhadap pelaku dengan tegas dan hukuman yang berat supaya pelaku mendapatkan efek jera. Sedangkan pada ayat 2 (dua) malah lebih ringan penjatuhan hukumannya terhadap pelaku bertempat tinggal di sekitar hutan. hal ini menimbulkan ketidaktepatan rumusan sanksi pidana pada Undang-undang Nomor 18 Tahun 2013.
Jenis penelitian yang digunakan dalam penulisan skripsi ini adalah normatif artinya untuk melakukan suatu pendekatan yang memandang peraturan perundang-undangan. Objek kajian berupa bahan hukum primer yang mencakup peraturan perundang-undangan, bahan hukum sekunder seperti hasil penelitian seperti buku, cacatan penting dan juga bahan hukum tersier seperti kamus. Pengumpulan bahan hukum dilakukan melalui studi kepustakaan dan melakukan pendekatan secara perundang-undang, konsep dan sejarah.
Pada awal mula terjadinya tindak pidana pencurian kayu milik negara karena pemerintah meminggirkan hak masyarakat desa hutan sehingga mereka miskin dan tingkat kesejahteraan menurun hal itulah dimanfaatkan oleh pemilik modal untuk melakukan pencurian kayu di sekitar hutan. akan tetapi ketidaktepatan perumusan sanksi pidana dalam UU P3H Pasal 101 ayat (1) lebih memberatkan serta dapat membuat efek jera terhadap pelaku karena menggunakan sistem pembalasan sesuai perbuatan apa yang dilakukan oleh pelaku. Sedangkan pada ayat (2) meringankan penjatuhan sanksi pidana karena lebih fokus terhadap perbaikan perilaku pelaku dengan menaati tata tertib di lingkungan masyarakat supaya menjadi lebih baik lagi. Berdasarkan hasil analisis seharusnya memberikan sanksi yang sama dengan Pasal 101 ayat (1) dengan tujuan membuat pelaku mendapat efek jera dengan adanya sanksi yang sama.

Kata kunci: pencurian kayu-perumusan sanksi-masyarakat.
"
2,"Peran Teor Motivasi Herzberg Sebagai Mediator Self Efficacy, Lingkungan Kerja Dalam Meningkatkan Prestasi Kerja Pegawai ( Kantor Jasa Penilai Publik Guntur Eki Andri dan Rekan Kota Surabaya )", Widha Deby Andrea," Mochammad Isa Anshori, S.E., M.Si.",,"Penelitian ini bertujuan untuk dapat mengetahui tentang pengaruh motivasi kerja sebagai mediator self efficacy dan lingkungan kerja terhadap prestasi kerja karyawan pada KJPP GEAR kota Surabaya. Dalam penelitian ini terdapat 25 karyawan yang berusia mulai dari 21-52 tahun. Metode yang digunakan dalam penelitian ni menggunakan metode uji statistik f dan uji statistik t. Permasalahan yang muncul dalam latar belakang ini adalah adanya sifat dari salah satu pegawai yang merasa dirinya menguasai semua hal hingga dia tidak membutuhkan bantuan dari pegawai yang lain. Serta permasalahan  yang sering dihadapi oleh pegawai adalah bagaimana cara mereka mengontrol efikasi diri mereka saat menghadapi masalah baik dari dalam diri mereka ataupun dari luar diri mereka seperti dari konsumen..   Dalam   penelitian   ini   menunjukkan   bahwa   baik   self   efficacy, lingkungan kerja dan motivasi kerja sangat berpengaruh terhadap prestasi kerja para pegawai KJPP GEAR Kota Surabaya.

Kata Kunci : Self Efficacy, Lingkungan Kerja , Motivasi Kerja dan Prestasi Kerja

"
3,ANALISIS KANDUNGAN TIMBAL (Pb) UDANG REBON (Acetes sp) HASIL TANGKAPAN DI PERAIRAN SOCCAH KABUPATEN BANGKALAN, Roihatul Jannah dan Haryo Triajie," Haryo Triajie, S.Pi M.Pi",,"Perairan Soccah merupakan lokasi nelayan mencari ikan atau organisme laut lainnya seperti udang rebon (Acetes Sp). Udang rebon (Acetes Sp) pada perairan ini memiliki banyak peminat dan ada beberapa dikirim ke Gresik. Pada perairan Soccah juga menjadi jalur transportasi untuk kapal-kapal besar seperti kapal batu bara dan adanya perusahaan reparasi kapal di sekitar situ sehingga banyak kapal terlihat di daerah situ. Adanya kegiatan tersebut bisa menjadi sumber masuknya Pb keperairan. Sifat logam berat yang terakumulasi menyebabkan dampak berbahaya bagi biota laut dan manusia yang mengkonsumsinya. Penelitian ini bertujuan untuk mengetahui konsentrasi Pb pada udang rebon (Acetes Sp), air dan batas konsumsi. Pengambilan sampel diambil 3 kali per stasiun. Sampel terdiri dari sampel udang rebon (Acetes Sp) dan sampel air yang dianalisa nilai konsentrasi Pb pada udang rebon dan perairan menunjukkan hasil pada stasiun 1 memiliki nilai sebesar 0,154 â 0,165 mg/kg dan 0,021 â 0,032 mg/l untuk stasiun 2 memiliki nilai sebesar 0,163 â 0,174 mg/kg dan 0,013 â 0,024 mg/l. Batas konsumsi maksimum udang rebon pada pada stasiun 1 sebesar 9,27 kg 1 dan stasiun 2 sebesar 8,21 pe rminggu"
4,Analisis Wacana Media Online Detik.com dalam Memberitakan Peristiwa Kerusuhan Mahasiswa Papua di Surabaya, RIAN PANDI PRANATA," Dr. Arie Wahyu Prananta, S.Pi.,M.Sos., ",,"Abstrak

 Rian Pandi Pranata. NIM 160521100059. Program Studi Sosiologi. Fakultas Ilmu Sosial dan Ilmu Budaya. Universitas Trunojoyo Madura. Analisis wacana pemberitaan Detikcom dalam Memberitakan Peristiwa Kerusuhan Mahasiswa Papua di Surabaya 
 Tujuan dalam penelitian ini adalah untuk mengetahui bagaimana analisis wacana kritis pemberitaan Detik.com dalam Memberitakan Peristiwa Kerusuhan Mahasiswa Papua di Surabaya.  
 Metode penelitian yang digunakan adalah kualitatif deskrriptif dengan pendekatan Critical discourse analysis Fairclough. Penelitian ini menggunakan teknik pengumpulan data yaitu Observasi dan wawancara dan dokumentasi. Analisis data yang digunakan adalah analisis wacana kritis Norman Fairclough. Teori yang digunakan dalam penelitian ini adalah Teori Analisis wacana kritis (Critical discourse analysis) milik Norman Fairclough.
 Hasil penelitian ini menunjukan bahwa dalam mewacanakan pemberitaan peristiwa kerusuhan mahasiswa Papua di Surabaya menunjukan Detik.com relatif kurang proporsional. Hal ini terlihat dari lemahnya proses verifikasi serta konfirmasi dalam kaidah jurnalistik. Detik.com hanya memakai satu partisipan sebagai narasumber dalam empat berita. Dari analisis wacana kritis Norman Fairclough yang dilakukan didapati bahwa Detikcom relatif lebih menyudutkan Mahasiswa Papua. Ini tergambar saat menuliskan berita detikcom tidak menempatkan satupun narasumber dari pihak mahasiswa papua.
 Kata Kunci : Analisis Wacana, Kerusuhan Mahasiswa Papua
"
5,DETEKSI OBJEK MANUSIA BERBASIS ONE STAGE DETECTOR MENGGUNAKAN ALGORITMA YOU ONLY LOOK ONCE VERSI 2 (YOLOv2), Dian Wibowo," Dr. Indah Agustien Siradjuddin, S.Kom., M.Kom.","Moch. Kautsar Sophan, S.Kom., M.MT.","Topik deteksi objek telah menarik perhatian yang besar dalam perkembangan teknologi terutama bidang computer vision. Deteksi objek memiliki peranan sangat penting dalam kehidupan sehari hari, seperti sistem keamanan pada area umum yang digunakan untuk membantu polisi dalam mencari tersangka kejahatan, serta digunakan dalam mengidentifikasi keramaian suatu area. Salah satu contoh metode one stage detector adalah algoritma You Only Look Once versi 2 (YOLO v2). YOLO v2 menggabungkan dua proses yang berbeda dilakukan secara bersamaan dalam satu framework sehingga mengurangi waktu komputasi. Terdapat lima tahap YOLO v2 dalam penelitian ini, yaitu menentukan jumlah dan ukuran anchor box dalam setiap grid, pembentukan data target, menentukan arsitektur YOLO v2, proses pelatihan dan pengujian. Dari hasil pengujian yang telah dilakukan menghasikan kesimpulan bahwa penggunaan pretrained model dan jumlah epoch pada pelatihan berpengaruh terhadap akurasi yang dihasilkan, didapatkan jumlah epoch pelatihan terbaik untuk dapat mendeteksi manusia pada sebuah citra adalah sebanyak 200 epoch dengan menggunakan pretrained model yang menghasilkan rata-rata f1-score sebesar 64.1%."
6,Perbedaan Kebahagaiaan Pasangan Pernikahan Pertama Dan Bukan Pertama, Siti Komariyah, Dr. Netty Herawati. Psikolog,,"Siti Komariyah. 130541100133. Perbedaan kebahagiaan pasangan pernikahan pertama dan bukan pertama. Skripsi. Program Studi Psikologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura. 2018.
 
 Penelitian ini bertujuan untuk mengetahui apakah terdapat perbedaan pernikahan pertama dan bukan pertama. Pendekatan penelitian ini menggunakan pendekatan penelitian kuantitatif. Subjek dalam penelitian ini terdiri dari 50 pasangan suami istri pernikahan pertama dan 30 pasangan suami dan istri yang menikah lebih dari satu kali. Metode pengambilan data menggunakan menggunkanan angket. Tekhnik analisi data yang digunakan adalah Independent T-tes. Hasil dari penelitian ini menunjukkan terdapat perbedaan dalam kebahagiaan perkawinan, dapat dilihat uji perbedaan independent sample t-test dengan bantuan program SPSS (Statistical Product and Service Solution) 23.0 for windows. Berdasarkan hasil uji perbedaan diperoleh nilai t = 8,521 dengan signifikansi sebesar 0,00 (P<0,05) yang artinya hipotesis diterima, artinya ada perbedaan yang signifikan kebahagiaan pernikahan pada pernikahan pertama dan pernikahan bukan pertama.  

Kata kunci : Kebahagiaan, Pernikahan pertama dan bukan Pertama.
"
7,ALTERNATIF PEMILIHAN JENIS PAKAN SAPI MADURA DI KABUPATEN PAMEKASAN MENGGUNAKAN ANP(analytical network proses), Budiyono," Dr, Muhammad fuad FM,STP.M.Si","Dr.Ir. H.Asfan,MP","Abstrak
 Dalam menyediakan hijauan pakan ternak harus diketahui potensi hijauan yang ada sehingga kebutuhan pakan bisa optimal, pakan yang digunakan antara lain Runput gajah, Jerami, Pohon jagung, Daun lamtoro, Bongkol pisang, Rumput liar. Untuk memilih alternaternatif pakan terbaik menggunakan metode ANP (Analytical Network Proses) dengan bantuan software super decision sehinggan peternak dapat menemukan alternatif pakan terbaik yang akan dijadikan sebagai pakan ternak, penentuan alternatif pakan sapi ini menggunakan cara survey lokasi,wawancara kepada peternak sapi studi pustaka, pengumpulan data di peternakan dan pengolahan data menggunakan metode ANP (Analytical Network Proses) sehingga  ditemukan alternatif pakan sapi terbaik setelah dilakukan penilaian dan perangkingan setiap alternatif pakan sapi, dan nilai tertinggi yaitu rumput gajah (0,34061), daun lamtoro (0,30581), dan jerami (0,12897). Rumput gajah menjadi pilihan utama dalam penerapan alternatif pemilihan pakan sapi di kabupaten pamekasan dengan pertimbangan dilihat dari beberapa aspek kriteria yaitu aspek kualitas, ekonomi, dan lingkungan.
Keywords: Alternatif pakan sapi, Metode ANP.
"
8,STAGNANSI HUBUNGAN KELEMBAGAAN DAN KEWENANGAN ANTARA KOMISI PEMBERANTASAN KORUPSI DAN KEPOLISIAN, MOH WASIL SYAHRONI," Dr. DENI SETYA BAGUS YUHERAWAN, S.H., M.S",,"Skripsi ini bertujuan untuk menganalisis pentingnya Stagnansi hubungan kelembagaan kewenangan antara komisi pemberantasan korupsi dan kepolisian. Adanya fakta perseteruan antara Kepolisian Negara Republik Indonesia (POLRI) dengan komisi pemberantasan korupsi (KPK) yang disebabkan adanya kesenjangan kedudukan hukum dan kewenagan penyidikan oleh penyidik komisi pemberantasan korupsi dan penyidik polri. Tumpang tindih tersebut disebabkan adaya ketidaktepatan beberapa aturan hukum dalam Undang-undang no. 31 tahun 
1999 Tentang Pemberantasan Tindak Pidana Korupsi jo Undang-undang no. 20 tahun 2001 Tentang Perubahan atas Undang-undang no.31 tahun 1999 Tentang Pemberantasan Tindak 
Pidana Korupsi dan Undang-undang no.30 tahun 2002 jo Undang-undang no.19 tahun 2019 Tentang perubahan atas Undang-undang no.30 tahun 2002 Tentang Komisi Pemberatasan Tindak Pidana Korupsi. 
 Metode penelitian yang digunakan adalah metode penelitian hukum normatif atau doktrinal. Adapun pendekatan yang diambil adalah pendekatan statute approach dan pendekatan conceptual approach. 
 Hasil penelitian ini menunjukkan bahwa, hubungan kelembagaan dan hubungan kewenangan Komisi Pemberantasan Korupsi (KPK) dan Kepolisian Negara Republik Indonesia (Polri) diperlukan adanya Reposisi. Reposisi diperlukan karena adanya tumpang tindih kelembagaan dan kewenangan antara penyidik Komisi Pemberantasan Korupsi (KPK) dan Kepolisian Negara Republik Indonesia (Polri). Tumpang tindih ini disebabkan ketidaktepatan beberapa aturan hukum dalam Undang-undang Tindak Pidana Korupsi dan Undang-undang Komisi Pemberantasan Korupsi (KPK) yaitu pasal 43 Undang-undang Tindak Pidana Korupsi dan juga pasal 6,7,8,9,10,11,50 serta 68 Undang-undang Komisi Pemberantasan Korupsi. Untuk itu perlu dilakukan Reposisi hukum dengan bertumpu pada tindak pidana korupsi dengan 3 indikator yang menjadi lingkup penyelidikan pengYidik Komisi Pemberantasan Korupsi(KPK). 
 
Kata Kunci : Stagnansi, Hubungan Kelembagaan, Kewenangan, Komisi Pemberantasan Korupsi, Polri 
"
9,SELF COMPASSION PADA SURVIVOR HIV-AIDS DENGAN VIRAL LOAD TIDAK TERDETEKSI, Crusita Widya Anggraeni," Alifah Rahma Wati S.Psi., M.Psi., Psikolog",,"Penelitian ini bertujuan mengetahui self compassion pada survivor HIV-AIDS dengan viral load tidak terdeteksi. Sejalan dengan tujuan penelitian tersebut maka dalam penelitian ini menggunakan pendekatan penelitian kualitatif studi kasus. Subjek penelitian menggunakan tiga survivor HIV-AIDS dengan rincian 1 laki-laki dan dua perempuan dalam rentang usia dewasa (20-60 tahun). Subjek dalam penelitian ini ditentukan berdasarkan teknik purposive sampling. Metode pengambilan data adalah wawancara semi terstruktur dengan teknik analisis Miles dan Huberman. Teori yang digunakan adalah teori Self compassion yang di kemukakan oleh Neff (2003) dengan tiga aspek yaitu self kindess, common humanity dan mindfulness. Hasil penelitian sebagai berikut pertama pada aspek self kindess memperlihat bahwa ketiga survivor HIV-AIDS tetap berperilaku baik terhadap dirinya. Dibuktikan dengan perilaku tidak merendahkan diri sendiri, menjaga kesehatan tubuh dan selalu melakukan konsultasi dengan dokter serta mampu menghibur diri ketika dalam kondisi emosional yang kurang baik. Kedua pada aspek common humanity memperlihatkan bahwa ketiga survivor HIV-AIDS tetap memiliki perasaan tidak terisolasi dengan orang lain ataupun masyarakat meskipun dalam keadaan sakit. Dibuktikan dengan tetap berinteraksi dan bergaul dengan lingkungan, selalu berusaha menyesuaikan diri serta tidak malu untuk berbagi perasaan dengan orang lain. Ketiga pada aspek mindfulness memperlihatkan bahwa ketiga survivor HIV-AIDS mampu menerima keadaan serta dapat menyelaraskan pikiran, perasaan dan tindakan. Dibuktikan dengan tidak berlarut-larut dalam perasaan bersalah, menyadari apa yang harus dilakukan serta bijak dalam menghadapi keadaan yang terjadi.

Kata Kunci : Self Compassion, survivor HIV-AIDS, viral load tidak terdeteksi

"
